2;2;2024;Activa;420.5
3;3;2025;Pendiente;390.0
4;4;2024;Anulada;0.0
5;5;2025;Activa;420.5
6;6;2024;Activa;420.5
7;7;2025;Activa;420.5
8;8;2024;Activa;420.5
11;11;2004;aaa;34.0
12;12;2025;Parcial;120.0
13;13;2023;Completa;212.0
14;21;2004;Parcial;21.0
15;26;2003;Completa;28.0
16;28;2024;Anulada;100.0
17;29;2023;Anulada;120.0
19;2;2024;Activa;420.5
20;3;2025;Pendiente;390.0
21;4;2024;Anulada;0.0
22;5;2025;Activa;420.5
23;6;2024;Activa;420.5
24;7;2025;Activa;420.5
25;8;2024;Activa;420.5
26;12;2024;parcial;29.0
28;2;2024;Activa;420.5
29;3;2025;Pendiente;390.0
30;4;2024;Anulada;0.0
31;5;2025;Activa;420.5
32;6;2024;Activa;420.5
33;7;2025;Activa;420.5
34;8;2024;Activa;420.5
35;12;2024;parcial;29.0
37;2;2024;Activa;420.5
38;3;2025;Pendiente;390.0
39;4;2024;Anulada;0.0
40;5;2025;Activa;420.5
41;6;2024;Activa;420.5
42;7;2025;Activa;420.5
43;8;2024;Activa;420.5
44;12;2024;parcial;29.0
46;2;2024;Activa;420.5
47;3;2025;Pendiente;390.0
48;4;2024;Anulada;0.0
49;5;2025;Activa;420.5
50;6;2024;Activa;420.5
51;7;2025;Activa;420.5
52;8;2024;Activa;420.5
53;11;2004;aaa;34.0
54;12;2025;Parcial;120.0
55;13;2023;Completa;212.0
56;21;2004;Parcial;21.0
57;26;2003;Completa;28.0
58;28;2024;Anulada;100.0
59;29;2023;Anulada;120.0
